input,output,difficulty,chapter
(   )一個邊長　7　公分的正方體，體積是多少立方公分？　(Ａ)　343　立方公分　(Ｂ)　196　立方公分　(Ｃ)　294　立方公分　(Ｄ)　98　立方公分。,答案：(Ａ) 解析：7×7×7＝343 ,易,2-1_長方體和正方體的體積
(   )曉明想把邊長　12　公分正方體紙盒，放入邊長總和　6　公尺的正方體紙箱中，最多可以放幾個？　(Ａ)　12　個　(Ｂ)　50　個　(Ｃ)　64　個　(Ｄ)　72　個。,答案：(Ｃ) 解析：邊長總和　6　公尺的正方體，6　公尺＝600　公分 邊長為　600÷12＝50（公分） 50÷12＝4…2，一邊最多放　4　個紙盒 4×4×4＝64，所以答案為(Ｃ) ,難,2-1_長方體和正方體的體積
(   )邊長　4　公分的正方體積木和長　5　公分、寬　4　公分、高　3　公分的長方體積木疊在一起後，所組成的立體形體體積是多少立方公分？　(Ａ)　16　立方公分　(Ｂ)　124　立方公分　(Ｃ)　144　立方公分　(Ｄ)　180　立方公分。,答案：(Ｂ) 解析：4×4×4＝64，5×4×3＝60，64＋60＝124 ,中,2-3_複合形體的體積
(   )一個長　1　公尺、寬　100　公分、高　2　公尺的長方體容器中，可以放入多少個體積　1　立方公分的正方體小積木？　(Ａ)　200　個　(Ｂ)　2000　個　(Ｃ)　20000　個　(Ｄ)　2000000　個。,"答案：(Ｄ) 解析：1　公尺＝100　公分，2　公尺＝200　公分，
100×100×200＝2000000 ",中,3-1_認識容積
(   )下列哪項關於算出長方體容器的容積是錯的？　(Ａ)要以內部的長、寬、高來算　(Ｂ)要利用體積公式　(Ｃ)通常使用的單位是立方公分或立方公尺　(Ｄ)算容積時用的體積公式是（長×寬×高）×6。,答案：(Ｄ) 解析：(Ｄ)算容積時，用的體積公式是長×寬×高 ,易,3-1_認識容積
(   )容器內部空間的大小是　(Ａ)容積　(Ｂ)容量　(Ｃ)體積　(Ｄ)面積。,答案：(Ａ) ,易,3-1_認識容積
(   )有一個無蓋的長方體水箱，外部的長為　1.24　公尺、寬為　104　公分、高為　0.34　公尺，水箱的厚度為　2　公分，容積是多少？　(Ａ)　0.36　立方公尺　(Ｂ)　0.384　立方公尺　(Ｃ)　3.84　立方公尺　(Ｄ)　0.306　立方公尺。,"答案：(Ｂ) 解析：1.24　公尺＝124　公分，0.34　公尺＝34　公分，
124－2×2＝120，104－2×2＝100，34－2＝32，
120×100×32＝384000，
384000　立方公分＝0.384　立方公尺 ",難,3-1_認識容積
(   )長方體浴池的內部長　8　公尺、寬　5　公尺、高　2　公尺，容積是多少立方公尺？　(Ａ)　80　立方公尺　(Ｂ)　65　立方公尺　(Ｃ)　70　立方公尺　(Ｄ)　75　立方公尺。,答案：(Ａ) 解析：8×5×2＝80 ,易,3-1_認識容積
(   )有一個長方體紙盒容積是　0.1152　立方公尺，裡面剛好可以裝滿　24　個相同體積的積木，每個積木的體積是多少立方公分？　(Ａ)　2400　立方公分　(Ｂ)　3600　立方公分　(Ｃ)　4200　立方公分　(Ｄ)　4800　立方公分。,"答案：(Ｄ) 解析：0.1152　立方公尺＝115200　立方公分，
115200÷24＝4800 ",難,3-1_認識容積
(   )爸爸用厚度　0.6　公分的木板，做成一個外部長　71.2　公分、寬　46.2　公分、高　21.2　公分有蓋的長方體收納箱，收納箱可以放幾個體積　1750　立方公分的長方體紙盒？　(Ａ)　32　個　(Ｂ)　36　個　(Ｃ)　38　個　(Ｄ)　42　個。,"答案：(Ｂ) 解析：71.2－0.6×2＝70，46.2－0.6×2＝45，
21.2－0.6×2＝20，70×45×20＝63000，
63000÷1750＝36 ",難,3-1_認識容積
(   )一個無蓋正方體塑膠盒，外部的邊長是　15　公分，塑膠板厚　1　公分，容積是多少立方公分？　(Ａ)　2197　立方公分　(Ｂ)　2297　立方公分　(Ｃ)　2366　立方公分　(Ｄ)　2466　立方公分。,答案：(Ｃ) 解析：15－1×2＝13，15－1＝14，13×13×14＝2366 ,中,3-1_認識容積
(   )有一個長方體珠寶盒，它的內部長是　12　公分、高是　6　公分，容積是　648　立方公分，內部的寬是多少公分？　(Ａ)　7　公分　(Ｂ)　8　公分　(Ｃ)　9　公分　(Ｄ)　10　公分。,答案：(Ｃ) 解析：648÷12÷6＝9 ,易,3-1_認識容積
(   )有一個內部長　20　公尺，寬　10　公尺，高　5　公尺的長方體倉庫，它的容積是多少立方公尺？　(Ａ)　100　立方公尺　(Ｂ)　1000　立方公尺　(Ｃ)　50　立方公尺　(Ｄ)　200　立方公尺。,答案：(Ｂ) 解析：20×10×5＝1000 ,易,3-1_認識容積
(   )靖瑜的長方體抽屜內部的長、寬、高分別是　40　公分、10　公分、50　公分，它的容積是多少立方公分？　(Ａ)　20000　立方公分　(Ｂ)　2000　立方公分　(Ｃ)　200000　立方公分　(Ｄ)　40000　立方公分。,答案：(Ａ) 解析：40×10×50＝20000 ,易,3-1_認識容積
(   )孟真的長方體置物櫃內部的長、寬、高分別是　60　公分、50　公分、20　公分，可以裝滿幾個邊長　10　公分的正方體紙盒？　(Ａ)　6　個　(Ｂ)　60　個　(Ｃ)　50　個　(Ｄ)　5　個。,答案：(Ｂ) 解析：60÷10＝6，50÷10＝5，20÷10＝2，6×5×2＝60 ,中,3-1_認識容積
(   )有一個內部長　100　公分，寬　60　公分，高　70　公分的長方體木箱，小雨將一個正方體紙盒完全放入木箱內，此正方體紙盒的體積最大是多少？　(Ａ)　1000000　立方公分　(Ｂ)　343000　立方公分　(Ｃ)　420000　立方公分　(Ｄ)　216000　立方公分。,答案：(Ｄ) 解析：此正方體邊長最大是　60　公分，60×60×60＝216000 ,中,3-1_認識容積
(   )有一個長　70　公尺，寬　40　公尺，高　30　公尺的長方體倉庫，內部放進　200　個相同大小的正方體紙箱後，剩餘的空間是　40800　立方公尺，每個正方體紙箱的體積是多少立方公尺？　(Ａ)　216000　立方公尺　(Ｂ)　21.6　立方公尺　(Ｃ)　216　立方公尺　(Ｄ)　2160　立方公尺。,"答案：(Ｃ) 解析：70×40×30＝84000，84000－40800＝43200，
43200÷200＝216 ",難,3-1_認識容積
(   )客廳裡有一個長方體的魚缸，內部的長　72　公分、寬　45　公分、高　68　公分，姐姐加　58　公升　320　毫升的水後，魚缸的水深是多少公分？　(Ａ)　18　公分　(Ｂ)　19　公分　(Ｃ)　20　公分　(Ｄ)　21　公分。,答案：(Ａ) 解析：58　公升　320　毫升＝58320　毫升，58320÷72÷45＝18 ,中,3-3_液體的體積
(   )有一個內部長　40　公分、寬和高都是　24　公分的長方體油箱，爸爸倒了一些油進去，水深由　17　公分變成　20　公分，爸爸倒了多少公升的油？　(Ａ)　2880　公升　(Ｂ)　288　公升　(Ｃ)　28.8　公升　(Ｄ)　2.88　公升。,"答案：(Ｄ) 解析：40×24×（20－17）＝2880，
2880　立方公分＝2.88　公升 ",中,3-3_液體的體積
(   )一個厚度　2　公分的有蓋長方體容器，外部的長　34　公分、寬　24　公分、高　27　公分，裡面裝了一些紅茶，水深達　9　公分，紅茶的容量是多少公升？　(Ａ)　5.6　公升　(Ｂ)　5.5　公升　(Ｃ)　5.4　公升　(Ｄ)　5.3　公升。,"答案：(Ｃ) 解析：34－2×2＝30，24－2×2＝20，
30×20×9＝5400，5400　立方公分＝5.4　公升 ",中,3-3_液體的體積
(   )有一長方體容器內部長　24　公分、寬　12　公分、高　15　公分，今將　1440　毫升的水倒入容器內，水面的高度有多少公分？　(Ａ)　2　公分　(Ｂ)　8　公分　(Ｃ)　5　公分　(Ｄ)　12　公分。,答案：(Ｃ) 解析：1440÷24÷12＝5 ,中,3-3_液體的體積
(   )有一水池可以裝滿　30　公升的水，已知容器內部長　50　公分、寬　40　公分，這個容器內部高幾公分？(Ａ)　15　公分　(Ｂ)　10　公分　(Ｃ)　1.5　公分　(Ｄ)　150　公分。,答案：(Ａ) 解析：30公升＝30000　立方公分 30000÷50÷40＝15 ,中,3-3_液體的體積
(   )有一水池可以裝滿　40　公升的水，已知容器內部寬　40　公分、高　50　公分，這個容器內部長幾公分？(Ａ)200　公分　(Ｂ)　20　公分　(Ｃ)　2　公分　(Ｄ)　0.2　公分。,答案：(Ｂ) 解析：40　公升＝40000　立方公分 40000÷40÷50＝20 ,中,3-3_液體的體積
(   )內部的長　40　公分、寬　20　公分、高　30　公分的長方體水箱，盛有　25　公分高的水，把　25　個體積相同的積木丟進去，並完全沉沒於水中，水深變為　28　公分，1　個積木的體積是多少立方公分？　(Ａ)　116　立方公分　(Ｂ)　102　立方公分　(Ｃ)　96　立方公分　(Ｄ)　94　立方公分。,答案：(Ｃ) 解析：40×20×（28－25）＝2400，2400÷25＝96 ,中,3-4_不規則物體的體積
(   )一物體丟入一底面積為　50　平方公分的容器中，水增高　7　公分，物體的容積是多少？　(Ａ)　250　立方公分　(Ｂ)　300　立方公　(Ｃ)　350　立方公分　(Ｄ)　400　立方公分。,答案：(Ｃ) 解析：50×7＝350 ,中,3-4_不規則物體的體積
(   )一個水箱內部的長、寬、高分別是　24　公分、10　公分、20　公分。原本水箱的水深是　11　公分，丟入　6　塊體積相同的石頭後，6　塊石頭完全沉入水中，水面的高度上升到　16　公分，一塊石頭的體積是多少立方公分？　(Ａ)　1200　立方公分　(Ｂ)　1000　立方公分　(Ｃ)　200　立方公分　(Ｄ)　100　立方公分。,答案：(Ｃ) 解析：24×10×（16－11）＝1200，1200÷6＝200 ,中,3-4_不規則物體的體積
(   )將內部邊長　20　公分的正方體盒子裝一些水，並丟入一個小鐵球，小鐵球完全沉入水中，這時水深　14　公分；把小鐵球取出後，水深變成　8　公分，小鐵球的體積是多少立方公分？　(Ａ)　2400　立方公分　(Ｂ)　2500　立方公分　(Ｃ)　2600　立方公分　(Ｄ)　2700　立方公分。,答案：(Ａ) 解析：20×20×（14－8）＝2400 ,中,3-4_不規則物體的體積
(   )有一個無蓋長方體容器，容器的厚度是　1.5　公分，外面的長　33　公分、寬　23　公分、高　13　公分。原本容器內的水深是　9　公分，丟入一隻小銅象後剛好滿水，小銅象的體積是多少立方公分？　(Ａ)　3036　立方公分　(Ｂ)　2400　立方公分　(Ｃ)　1500　立方公分　(Ｄ)　600　立方公分。,"答案：(Ｃ) 解析：33－1.5×2＝30，23－1.5×2＝20，13－1.5×1＝11.5
30×20×（11.5－9）＝1500 ",難,3-4_不規則物體的體積
(   )一個厚度　2.3　公分的有蓋正方體水槽，外面的邊長　44.6　公分。放入一個鉛塊後，水位從　18.6　公分上升到　21.1　公分，這個鉛塊的體積是幾立方公分？　(Ａ)　4000　立方公分　(Ｂ)　5000　立方公分　(Ｃ)　5600　立方公分　(Ｄ)　4800　立方公分。,答案：(Ａ) 解析：44.6－2.3×2＝40，40×40×（21.1－18.6）＝4000 ,中,3-4_不規則物體的體積
(   )在量杯裡裝　300　毫升的水，放進一顆石頭後，石頭完全沉入水中，水面上升至刻度　370　毫升的位置，則這一顆石頭的體積是多少立方公分？　(Ａ)　670　立方公分　(Ｂ)　70　立方公分　(Ｃ)　335　立方公分　(Ｄ)　35　立方公分。,答案：(Ｂ) 解析：370－300＝70 ,易,3-4_不規則物體的體積
(   )量杯裡裝了水，將　2　顆石頭丟入，石頭完全沉入水中，水面在刻度　750　毫升的位置。將　2　顆石頭取出後，水面下降至刻度　500　毫升的位置。平均　1　顆石頭的體積是多少？　(Ａ)　1250　立方公分　(Ｂ)　625　立方公分　(Ｃ)　250　立方公分　(Ｄ)　125　立方公分。,答案：(Ｄ) 解析：750－500＝250，250÷2＝125 ,中,3-4_不規則物體的體積
(   )有一長方體花瓶內部長　12　公分、寬　8　公分、高　24　公分。花瓶內水面的高度為　15　公分，放入某物體後，水面高度變成　18　公分，此物體的體積是多少立方公分？　(Ａ)　288　立方公分　(Ｂ)　256　立方公分　(Ｃ)　323　立方公分　(Ｄ)　400　立方公分。,答案：(Ａ) 解析：12×8×（18－15）＝288 ,中,3-4_不規則物體的體積
(   )有　1　公升的量杯裝有　800　毫升的水，依依將一鐵塊丟入量杯中，鐵塊完全沉入水中，結果溢出　400　毫升的水，此鐵塊的體積為多少立方公分？　(Ａ)　800　立方公分　(Ｂ)　400　立方公分　(Ｃ)　600　立方公分　(Ｄ)　1000　立方公分。,答案：(Ｃ) 解析：1　公升＝1000　立方公分，1000－800＝200 200＋400＝600 ,中,3-4_不規則物體的體積
(   )哥哥平均一天運動　1　小時　45　分，一星期共運動幾小時幾分？　(Ａ)　12　小時　15　分　(Ｂ)　12　小時　20　分　(Ｃ)　12　小時　25　分　(Ｄ)　12　小時　30　分。,答案：(Ａ) 解析：1　小時　45　分×7＝12　小時　15　分 ,易,4-1_時間的乘法
(   )玩一次打地鼠遊戲限時　2　分　18　秒，小元和小玉輪流各玩　3　次，總共花了幾分幾秒？　(Ａ)　22　分　8　秒　(Ｂ)　13　分　48　秒　(Ｃ)　6　分　54　秒　(Ｄ)　6　分　58　秒。,答案：(Ｂ) 解析：2　分　18　秒×3×2＝13　分　48　秒 ,中,4-1_時間的乘法
(   )爺爺走一段山路平均花費　3　小時　42　分，每星期來回走一趟，4　個星期總共走幾小時幾分的山路？　(Ａ)　14　小時　48　分　(Ｂ)　14　小時　38　分　(Ｃ)　28　小時　36　分　(Ｄ)　29　小時　36　分。,答案：(Ｄ) 解析：3　小時　42　分×2×4＝29　小時　36　分 ,中,4-1_時間的乘法
(   )模型列車繞行軌道一圈要花　1　分　34　秒，若以同樣的速度跑　10　圈，共要花多少時間？　(Ａ)　10　分　34　秒　(Ｂ)　24　分　4　秒　(Ｃ)　15　分　40　秒　(Ｄ)　5　分　40　秒。,答案：(Ｃ) 解析：1　分　34　秒×10＝15　分　40　秒 ,中,4-1_時間的乘法
(   )有一顆人造衛星，繞著地球運行一圈要花　1　小時　40　分，則運行　8　圈共要花多少時間？　(Ａ)　9　小時　20　分　(Ｂ)　13　小時　20　分　(Ｃ)　8　小時　50　分　(Ｄ)　13　小時　40　分。,答案：(Ｂ) 解析：1　小時　40　分×8＝13　小時　20　分 ,中,4-1_時間的乘法
(   )小宇每天要補習　2　小時　20　分，5　天共花多少時間在補習？　(Ａ)　10　小時　10　分　(Ｂ)　11　小時　10　分　(Ｃ)　10　小時　40　分　(Ｄ)　11　小時　40　分。,答案：(Ｄ) ,中,4-1_時間的乘法
(   )小英走操場一圈平均要花　5　分　30　秒，連續走　6　圈，共要花多少時間？　(Ａ)　30　分　30　秒　(Ｂ)　33　分　30　秒　(Ｃ)　30　分　(Ｄ)　33　分。,答案：(Ｄ) ,中,4-1_時間的乘法
(   )陳導遊一次出團實際工作時數是　2　日　15　小時，他這個月出團　9　次，工作時數總共幾日幾小時？　(Ａ)　20　日　15　小時　(Ｂ)　23　日　15　小時　(Ｃ)　24　日　5　小時　(Ｄ)　24　日　15　小時。,答案：(Ｂ) 解析：2　日　15　小時×9＝23　日　15　小時 ,中,4-1_時間的乘法
(   )一艘遊艇繞島嶼一圈平均要　2　日　13　小時，繞　4　圈大約共要幾日幾小時？　(Ａ)　10　日　4　小時　(Ｂ)　10　日　5　小時　(Ｃ)　10　日　6　小時　(Ｄ)　10　日　7　小時。,答案：(Ａ) 解析：2　日　13　小時×4＝10　日　4　小時 ,易,4-1_時間的乘法
(   )有一件工程每個人進行的速度都相同，3　個工人同時施工需要　2　日　4　小時，若只由一個工人施工，要花多少時間？　(Ａ)　52/3小時　(Ｂ)　6　日　12　小時　(Ｃ)　18　小時　(Ｄ)　6　日　22　小時。,答案：(Ｂ) 解析：2　日　4　小時×3＝6　日　12　小時 ,易,4-1_時間的乘法
